id,text,label,image_path
0,Scientists discover cure for cancer using AI,1,
1,Local man wins lottery twice in same week,1,
2,New climate report warns of rising sea levels,0,
3,Government announces free education for all,0,
4,Celebrity found alive after reported death,1,
5,Stock market hits all time high today,0,
6,Researchers develop new COVID variant vaccine,0,
7,City council approves new public transport plan,0,
8,Aliens spotted near Area 51 says insider,1,
9,President signs new healthcare reform bill,0,
10,Doctors warn against new social media diet trend,1,
11,Tech giant launches revolutionary battery technology,0,
12,Study shows chocolate prevents heart disease always,1,
13,NASA confirms water found on Mars surface,0,
14,Local school wins national science competition,0,
15,Politician caught accepting bribes on camera,0,
16,New study links 5G towers to health issues,1,
17,Olympic athlete breaks 100m world record,0,
18,Miracle drug cures diabetes overnight claim,1,
19,University opens new artificial intelligence lab,0,
